Years,Days,Types,Times
2014,27,accident,392
2014,27,injured,399
2014,27,dead,39
2014,28,accident,474
2014,28,injured,486
2014,28,dead,47
2014,29,accident,456
2014,29,injured,503
2014,29,dead,75
2014,30,accident,496
2014,30,injured,541
2014,30,dead,78
2014,31,accident,537
2014,31,injured,571
2014,31,dead,57
2014,1,accident,536
2014,1,injured,539
2014,1,dead,68
2014,2,accident,283
2014,2,injured,306
2014,2,dead,33
2015,30,accident,508
2015,30,injured,516
2015,30,dead,59
2015,31,accident,625
2015,31,injured,641
2015,31,dead,71
2015,1,accident,604
2015,1,injured,625
2015,1,dead,60
2015,2,accident,367
2015,2,injured,381
2015,2,dead,37
2015,3,accident,342
2015,3,injured,379
2015,3,dead,33
2015,4,accident,286
2015,4,injured,301
2015,4,dead,41
2015,5,accident,265
2015,5,injured,274
2015,5,dead,40
2016,29,accident,439
2016,29,injured,456
2016,29,dead,39
2016,30,accident,590
2016,30,injured,624
2016,30,dead,64
2016,31,accident,662
2016,31,injured,675
2016,31,dead,73
2016,1,accident,647
2016,1,injured,657
2016,1,dead,74
2016,2,accident,415
2016,2,injured,443
2016,2,dead,34
2016,3,accident,339
2016,3,injured,361
2016,3,dead,41
2016,4,accident,287
2016,4,injured,289
2016,4,dead,38
2017,30,accident,596
2017,30,injured,635
2017,30,dead,56
2017,31,accident,882
2017,31,injured,960
2017,31,dead,87
2017,1,accident,851
2017,1,injured,909
2017,1,dead,83
2017,2,accident,464
2017,2,injured,492
2017,2,dead,52
2017,3,accident,368
2017,3,injured,400
2017,3,dead,22
2017,4,accident,388
2017,4,injured,414
2017,4,dead,35
2017,5,accident,275
2017,5,injured,297
2017,5,dead,32
2018,28,accident,490
2018,28,injured,477
2018,28,dead,51
2018,29,accident,606
2018,29,injured,575
2018,29,dead,51
2018,30,accident,681
2018,30,injured,648
2018,30,dead,79
2018,31,accident,703
2018,31,injured,678
2018,31,dead,76
2018,1,accident,692
2018,1,injured,677
2018,1,dead,75
2018,2,accident,431
2018,2,injured,400
2018,2,dead,51
2018,3,accident,400
2018,3,injured,386
2018,3,dead,40
